tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab,label
-0.8353743121721944,-0.7913157028257265,1.1417038977163108,1.6521042219040158,0.017397184896469145,1.0794040851048956,-0.0170776351047537,-1.0925444901510575,0.45746732782226224,1.2200134355526173,1.3216277113028538,1.579025513841632,1.0731204912005259,1
1.4782966318373787,-0.12670457980033611,-0.8031098650315303,-1.4150463989005753,1.7521243592936508,-1.5936194031072215,-1.438158272642167,-0.011574714513797206,-0.4067914257028469,1.2303545922223633,0.1354239587878561,0.9362551528964005,-0.5874869257921954,0
1.3570929552655635,1.3121387825242814,-0.8034971072927187,-1.4715073168752537,-0.45849150873433897,0.09825192643951067,-0.06283908370450926,0.7609639792758193,-1.3198524976240291,0.8812989413977528,1.1465959668773897,-1.513802720090797,-0.332095215270314,1
-1.6531383341635781,0.8822880237268471,-0.27835318860217473,-1.0609038088331069,0.2842503800628919,0.5139026157512785,-1.59104610031571,0.5834147894469397,-0.2873044040021562,1.6472504901471376,1.4745427777207267,-0.5917509493944154,0.3559221255595407,1
-0.7715430660445602,0.8601075556984081,-0.11166848808534041,1.6801156145073803,-0.2980753037168416,0.28744849975923226,-1.3763430133885657,1.6066364097643775,0.9922255405924348,-0.25360995178365026,0.48113287659572385,1.0790622304134767,0.9244873956490923,1
0.6378360586216444,1.40724414830168,-0.5345416773850935,-0.35815631826556826,0.9036677782168697,-1.4021258742311478,1.3385342233514332,-1.5060340884421493,-0.9597622122458823,-1.6302096629378462,0.06521132781269702,-0.20080571496711058,-0.8970295462313986,0
0.5324389041149961,-0.5414194592445861,0.6123487726684741,1.3012481960127762,-1.7983516459408129,1.467415396239364,0.09508736091105646,1.5611441182426529,-1.2657085970286766,-0.46318232628723693,-0.4483436627895159,-0.5410200310554978,-0.2648449244364528,1
0.6211729299829954,-1.4114847022814794,0.17116287987100484,0.9554745577151273,-0.6986957614702907,1.157013427769739,0.14660762967053947,-0.09002146078002721,-0.5601440980504406,0.3945554105525479,0.7575109416776487,-0.5267471929751112,0.02447091828778712,1
-0.20425383118214618,-0.45297793631637207,-1.3752218074837226,-0.5528753117147406,0.38730347424874706,-0.37029882466335506,0.027240986539639682,-0.3296689280216624,-0.9308993036715345,-1.0014398706432206,-1.3129288707337097,-0.15519487157146603,-1.4737711339450832,0
1.6742552995751554,-1.398832860374373,1.6481300286675364,0.8720841012530383,1.2997817367987194,-1.712102917204508,0.9061217144891334,-1.4516746734357342,-0.5420172930432505,0.07079567334216653,0.9737386390132785,-1.4904306710058082,-0.09067554054340775,1
